FRANCE LAIT,ABOUDZO Symphorien,@,97121300,90 81 65 76,,2021-10-23,2021-10-23,NULL
AJANTA PHARMA,,@,,,,2021-10-23,2021-10-23,NULL
INELDEA FRANCE,EHLAN Antoine,philwarreh@yahoo.fr,90 05 46 90,,,2021-10-26,2021-10-26,NULL
,,@,,,,2021-10-26,2021-10-26,NULL
PROPHARMED,KPEKPE GUILLAUME,@,90255307,,08 BP080120 LOME TOGO,2021-10-28,2021-10-28,NULL
GSK,*,@,*,*,,2021-10-30,2021-10-30,NULL
COOPER,,@,,,,2021-11-07,2021-11-07,NULL
EN ATTENTE,,@,,,,2021-11-14,2021-11-14,NULL
PERFORM PHARMA,KPETO abriyo,@,99 49 80 43,,A coté de la Pharmacie Univers Santé,2021-11-24,2021-11-24,NULL
PIERRE FABRE,,@,,,,2021-11-27,2021-11-27,NULL
JOHNSON ET JOHNSON,,@,,,,2021-11-27,2021-11-27,NULL
FERRER,,@,,,,2021-11-27,2021-11-27,NULL
ITALFARMACO,,@,,,,2021-12-04,2021-12-04,NULL
RAUBAXY,,@,,,,2021-12-04,2021-12-04,NULL
OPALIA,,@,,,,2021-12-04,2021-12-04,NULL
PHARMA 5,,@,,,,2021-12-04,2021-12-04,NULL
SINCLAIR PHARMA,,@,,,,2021-12-04,2021-12-04,NULL
SANOFI,,@,,,,2021-12-11,2021-12-11,NULL
MEDICALE PHARMACEUTIQUE,,@,,,,2021-12-15,2021-12-15,NULL
THERABEL LUCIEN PHARMA,,@,,,19 rue Alphonse-de-Neuville, 75017 Paris,2021-12-18,2021-12-18,NULL
EA,,@,,,,2021-12-18,2021-12-18,NULL
GRAABEL PHARMA,Adjanato,@,,,,2022-01-27,2022-01-27,NULL
AKOPHARM,afantolo,@,,,,2022-02-01,2022-02-01,NULL
ACCORD-PHARMA,,@,,,,2022-02-16,2022-02-16,NULL
PERFORM PHARM,,@,,,	,2022-02-19,2022-02-19,NULL
HK PHARMA,Atitsogbe parfait,@,,,,2022-03-01,2022-03-01,NULL
CHAMBRELANT,,@,,,france,2022-03-09,2022-03-09,NULL
KOMMY PROMO,madame amouzou,@,98 13 08 88,90 01 51 93,en face du croustillant à Hedzranawoè,2022-03-21,2022-03-21,NULL
CHAMBRELANT,pierre asselin,@,,,,2022-03-21,2022-03-21,NULL
ABBOTT,,@,,,,2022-04-16,2022-04-16,NULL
THETAPHARM,madame picot,@,,,france,2022-04-25,2022-04-25,NULL
PHARMACOL,akolatse abel,@,,,lome,2022-04-26,2022-04-26,NULL
