ALIMENTATION DU PREMATURE ET DU NOUVEAU NE HYPOTROPHE,4D4D4D,1
SOMNIFERE DOUX,,5
ANTICONSTIPATION,664DB3,6
ANTALGIQUES DENTAIRES,808080,8
ANTIMETEORISME,,9
PROBIOTIQUE,,10
VITAMINES,FF00FF,11
CALCITHERAPIE,CCCC33,13
DÉCONGESTIONNANT NASAL,,17
ANTISPASMODIQUES,FF00FF,19
STIMULANT RESPIRATOIRE,CC9933,30
CALMANT DU SYSTEME NERVEUX,,33
LAITS ANTI REFLUX,E6CCFF,42
LAIT ANTI DIARRHEIQUE,99CC99,43
ANTITUSSIFS,808000,54
STIMULANT DE L'IMMUNITE,,58
ANTI PALUDEENS,334DB3,61
NEUROLEPTIQUE,,84
ANTIPYRETIQUES,CCCC66,174
CORTICOIDE NASAL,80B3B3,179
ANTIDIARRHÉIQUE,4D3399,181
VACCINS,,185
ANTALGIQUES,80B380,187
FLUIDIFIANT BRONCHIQUE,,188
ANTIBIOTIQUES,B3801A,196
CORTICOIDES,FFCCE6,197
ANTIANÉMIQUES,,199
CREMES ET POMMADES,,200
FORTIFIANTS,NULL,201
DERMOCORTICOIDES,NULL,202
ANTIPARASITAIRES,NULL,203
COLLYRES ANTISEPTIQUES,NULL,204
STIMULANT DE L' APPETIT,NULL,205
ANTIHISTAMINIQUE,NULL,206
GELS BUCCAUX,NULL,207
MACROLIDES,NULL,208
CICATRISANTS,NULL,209
SOLUTIONS DE DRAINAGE NASAL,NULL,210
ANTIMYCOSIQUES,E6B34D,211
DESINFECTANTS,NULL,212
CONSOMMABLES,NULL,213
MUCOLYTIQUE,NULL,214
ANTILEUCOTRIÈNE,NULL,215
ANTIASTHMATIQUES,NULL,216
ZZZ,NULL,217
ANTALGIQUE AURICULAIRE,NULL,218
ANTIEMETIQUES,NULL,219
AAAAAA,NULL,220
YOUTUBES,FF9980,221
